charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
1004881215,4.86071777344,52.3588485718,460,5001.576576576576,32010.090090090096,6.400000000000004
1004881235,4.99741268158,52.2995491028,461,9277.513020833332,59376.08333333334,6.400000000000004
1004881245,4.93893480301,52.3627052307,462,9811.056685042942,62790.76278427483,6.400000000000001
1004881255,4.84735202789,52.3576698303,463,0.0,0.0,0.0
1004891395,4.84735107422,52.3575782776,463,0.0,0.0,0.0
1004901195,4.84735202789,52.3574867249,463,673.0416666666663,4304.266666666666,6.6248360546858365
1009568875,4.84736013412,52.3577384949,463,75826.66666666666,485290.6666666668,6.400000000000001
1004881275,4.91185808182,52.3875389099,464,11125.999999999998,71206.40000000002,6.400000000000004
1004881285,4.93620204926,52.3625068665,465,5445.208333333332,34849.33333333334,6.400000000000004
1004903905,4.93649482727,52.3626785278,465,872.9166666666662,5586.666666666667,6.400000000000006
1004881295,4.89082813263,52.3893966675,466,16778.226006957088,107659.18230721731,6.404732568163645
1004881775,4.89068412781,52.389377594,466,16778.226006957088,107659.18230721731,6.404732568163645
1004901595,4.89053583145,52.3893547058,466,0.0,0.0,0.0
1009464885,4.89082813263,52.3893966675,466,5653.583333333332,36182.93333333334,6.400000000000004
1009466625,4.89068412781,52.389377594,466,0.0,0.0,0.0
1004881355,4.84909391403,52.3846931458,468,549.6371243108699,3589.677595589569,6.413006121066574
1004895295,4.84945011139,52.3848876953,468,0.0,0.0,0.0
1009466515,4.84945011139,52.3848876953,468,5568.666666666665,35639.466666666674,6.400000000000003
1004881405,4.798620224,52.3515319824,471,8389.113003478544,53829.59115360866,6.404732568163645
1004881435,4.91232776642,52.3592796326,473,9811.056685042942,62790.76278427483,6.400000000000001
1004881485,4.87912988663,52.3852844238,476,0.0,0.0,0.0
1005358705,4.87895584106,52.3853912354,476,35419.54166666666,350653.4625,9.900000000000006
1004881495,4.90537786484,52.3626747131,477,5327.791666666666,34097.86666666668,6.400000000000004
1004921485,4.90530204773,52.3626441956,477,0.0,0.0,0.0
1004881505,4.85548305511,52.3681373596,478,0.0,0.0,0.0
1004887125,4.85521888733,52.3680267334,478,16778.226006957088,107659.18230721731,6.404732568163645
1009565635,4.85559988022,52.3681106567,478,0.0,0.0,0.0
1004881535,4.90732908249,52.3553962708,479,8389.113003478544,53829.59115360866,6.404732568163645
1004885925,4.90734910965,52.3553581238,479,9811.056685042942,62790.76278427483,6.400000000000001
1004885965,4.90737819672,52.3553581238,479,0.0,0.0,0.0
1009475035,4.90734910965,52.3553581238,479,11160.749999999998,71428.80000000002,6.400000000000005
1004881545,4.84857177734,52.3483810425,480,5405.541666666665,34595.466666666674,6.400000000000003
1004881585,4.8984670639,52.4069137573,481,4729.708333333332,30270.133333333342,6.400000000000004
1004890495,4.89869308472,52.4070777893,481,3415.0833333333326,21856.533333333333,6.400000000000005
1004881595,4.9285569191,52.3635253906,482,2156.813333333333,13735.605333333337,6.39040284444985
1004881635,4.90251684189,52.3515434265,483,0.0,0.0,0.0
1009493025,4.90251684189,52.3515434265,483,5142.708333333332,32913.33333333334,6.400000000000004
1004881665,4.80421876907,52.3456497192,485,9811.056685042942,62790.76278427483,6.400000000000001
1004881685,4.87636423111,52.3899040222,487,5454.739999999999,34910.33600000001,6.400000000000004
1004895895,4.87632083893,52.3901443481,487,5167.583333333332,33072.53333333334,6.400000000000004
1004881765,4.87722682953,52.3557548523,491,8389.113003478544,53829.59115360866,6.404732568163645
